Districts,Neighbourhood,Latitude,Longitude
North West Delhi,Adarsh Nagar,28.7142,77.16671
North West Delhi,Ashok Vihar,28.692059999999998,77.17755
North West Delhi,Azadpur,28.7053,77.1783
North West Delhi,Bawana,28.80221,77.040199
North West Delhi,Begum Pur,28.536978,77.209941
North West Delhi,Dhaka,28.708698,77.205749
North West Delhi,Jahangirpuri,28.725987,77.162683
North West Delhi,Karala,28.73514,77.032511
North West Delhi,Keshav Puram,28.688914,77.161652
North West Delhi,Kingsway Camp,28.698684000000004,77.204675
North West Delhi,Kohat Enclave,28.698014,77.140523
North West Delhi,Model Town,28.702739,77.194006
North West Delhi,Narela,28.85708,77.12346600000001
North West Delhi,Pitam Pura,28.703245000000003,77.132225
North West Delhi,Rani Bagh,28.685982,77.132524
North West Delhi,Rithala,28.720785,77.107155
North West Delhi,Rohini Sub City,28.73732,77.09098
North West Delhi,Shalimar Bagh,28.71302,77.158752
North Delhi,Shakti Nagar,28.678698999999998,77.19516800000001
North Delhi,Bara Hindu Rao,28.661054999999998,77.20671999999999
North Delhi,Chandni Chowk,28.659731,77.234459
North Delhi,Chawri Bazaar,28.649927,77.229788
North Delhi,Civil Lines,28.676857000000002,77.22505699999999
North Delhi,Dariba Kalan,28.654602,77.233379
North Delhi,Ghantewala,28.661054999999998,77.20671999999999
North Delhi,Gulabi Bagh,28.675171999999996,77.189837
North Delhi,Kamla Nagar,28.677891,77.205338
North Delhi,Kashmiri Gate,28.665567,77.228819
North Delhi,Kotwali,28.658597999999998,77.231084
North Delhi,Lahori Gate,28.656840999999996,77.21853399999999
North Delhi,Nehru Vihar,28.710745000000003,77.221174
North Delhi,Paharganj,28.641499,77.214061
North Delhi,Pratap Nagar,28.666687,77.198887
North Delhi,Pul Bangash,28.666376,77.207421
North Delhi,Roshanara Bagh,28.673718,77.19932
North Delhi,Sadar Bazaar,28.577151,77.111153
North Delhi,Sangam Vihar,28.497702,77.239174
North Delhi,Sant Nagar,28.646418,77.091188
North Delhi,Sarai Kale Khan,28.586626000000003,77.25622800000001
North Delhi,Sarai Rohilla,28.667872999999997,77.190267
North Delhi,Shakti Nagar,28.678698999999998,77.19516800000001
North Delhi,Shastri Nagar,28.674831,77.180337
North Delhi,Tees Hazari,28.66667,77.21667
North Delhi,Timarpur,28.700714,77.217323
North Delhi,Wazirabad,28.433761999999998,77.087757
North East Delhi,Babarpur,28.687541999999997,77.280539
North East Delhi,Dilshad Garden,28.686891999999997,77.322121
North East Delhi,Kabir Nagar,28.686327000000002,77.187898
North East Delhi,Mandoli,28.705565999999997,77.316689
North East Delhi,Maujpur,28.689589,77.274074
North East Delhi,Nand Nagri,28.694668,77.30834
North East Delhi,Naveen Shahdara,28.6679,77.2983
North East Delhi,New Usmanpur,28.680458,77.259323
North East Delhi,Sadatpur,28.721622999999997,77.262839
North East Delhi,Shahdara,28.6679,77.2983
North East Delhi,Sonia Vihar,28.718303000000002,77.249445
North East Delhi,Shastri Park,28.63273,77.22001999999999
North East Delhi,Yamuna Vihar,28.699609000000002,77.274474
Central Delhi,Chandni Chowk,28.656076000000002,77.23074
Central Delhi,Daryaganj,28.6443,77.242
Central Delhi,Jhandewalan,28.646946999999997,77.199671
Central Delhi,Karol Bagh,28.6516,77.1886
Central Delhi,Bara Hindu Rao,28.661054999999998,77.20671999999999
Central Delhi,Paharganj,28.642260999999998,77.21552199999999
Central Delhi,Rajender Nagar,28.641949,77.18569000000001
Central Delhi,Sadar Bazaar,28.594433000000002,77.12235
New Delhi,Barakhamba Road,28.629517,77.22547
New Delhi,Chanakyapuri,28.59153,77.17189
New Delhi,Connaught Place,28.6328,77.2198
New Delhi,Gautampuri,28.679175,77.264484
New Delhi,Gole Market,28.633434,77.20724
New Delhi,Golf Links,28.5989,77.2317
New Delhi,INA Colony,28.576736999999998,77.214896
New Delhi,Khan Market,28.600341999999998,77.22691999999999
New Delhi,Laxmibai Nagar,28.66667,77.21667
New Delhi,Pragati Maidan,28.61682,77.24369
East Delhi,Brij Puri,28.66667,77.21667
East Delhi,East Vinod Nagar,28.66667,77.21667
East Delhi,Gandhi Nagar,28.661136,77.261843
East Delhi,Geeta Colony,28.652029,77.270884
East Delhi,Jhilmil Colony,28.6677,77.3107
East Delhi,Krishna Nagar,28.65975,77.28255
East Delhi,Laxmi Nagar,28.633606,77.278786
East Delhi,Mayur Vihar,28.6077,77.2992
East Delhi,Pandav Nagar,28.6159,77.2828
East Delhi,Patparganj,28.635056,77.30388
East Delhi,Preet Vihar,28.638,77.2936
East Delhi,Anand Vihar,28.651940999999997,77.31198499999999
East Delhi,Shakarpur,28.628653999999997,77.279172
East Delhi,Shastri Nagar,28.675218,77.177262
East Delhi,Silampur,28.66667,77.21667
East Delhi,Vasundhara Enclave,28.6006,77.3191
East Delhi,Vishwas Nagar,28.66667,77.21667
East Delhi,Vivek Vihar,28.66667,77.21667
East Delhi,Shahdara,28.6679,77.2983
South Delhi,Alaknanda,28.5254,77.2538
South Delhi,Chhattarpur,28.4985,77.1825
South Delhi,Chittaranjan Park,28.5402,77.2481
South Delhi,Dayanand Colony,28.468071000000002,77.06524
South Delhi,Defence Colony,28.5734,77.2307
South Delhi,East of Kailash,28.55708,77.24452099999999
South Delhi,Friends Colony,28.569000000000003,77.25795
South Delhi,Govindpuri,28.532374,77.263288
South Delhi,Greater Kailash,28.5443,77.2397
South Delhi,Green Park,28.556775,77.20373599999999
South Delhi,Gulmohar Park,28.557014000000002,77.213273
South Delhi,Hauz Khas,28.550475,77.207776
South Delhi,Hauz Khas Village,28.554309999999997,77.19514000000001
South Delhi,Jaitpur,28.506995,77.32863499999999
South Delhi,Jamroodpur Village,28.5571,77.2369
South Delhi,Jangpura,28.66667,77.21667
South Delhi,Jasola,28.539394,77.28945999999999
South Delhi,Jor Bagh,28.588521000000004,77.216364
South Delhi,Kailash Colony,28.5538,77.242
South Delhi,Kalkaji,28.5417,77.2586
South Delhi,Khanpur,28.508934000000004,77.230639
South Delhi,Khirki Village,28.531065,77.218549
South Delhi,Kotla Mubarakpur,28.574310999999998,77.224925
South Delhi,Lajpat Nagar,28.57889,77.24389000000001
South Delhi,Lodi Colony,28.66667,77.21667
South Delhi,Maharani Bagh,28.5707,77.2631
South Delhi,Malviya Nagar,28.5353,77.2109
South Delhi,Mehrauli,28.515829999999998,77.1775
South Delhi,Neeti Bagh,28.559575,77.21699
South Delhi,Nehru Place,28.548388,77.251564
South Delhi,Netaji Nagar,28.576188000000002,77.186575
South Delhi,New Friends Colony,28.5631,77.2711
South Delhi,Nizamuddin West,28.591388000000002,77.24243299999999
South Delhi,Okhla,28.550606,77.27002
South Delhi,Pulpehaladpur,28.4994,77.2918
South Delhi,Safdarjung Enclave,28.565,77.1972
South Delhi,Sainik Farm,28.509869000000002,77.200195
South Delhi,Saket,28.51918,77.21301
South Delhi,Sarita Vihar,28.5336,77.2924
South Delhi,Sarojini Nagar,28.5795,77.1971
South Delhi,Sarvodaya Enclave,28.5374,77.1983
South Delhi,Shahpur Jat,28.548556,77.213534
South Delhi,Siri Fort,28.55,77.223801
South Delhi,South Extension,28.66667,77.21667
South Delhi,Sriniwaspuri,28.566045000000003,77.255339
South Delhi,Sundar Nagar[1],28.6037,77.24105
South Delhi,Tughlaqabad,28.5149,77.2688
South Delhi,Badarpur,28.5023,77.3022
South West Delhi,"Dabri, New Delhi",28.610190999999997,77.084012
South West Delhi,Dwarka Sub City,28.598125,77.06366
South West Delhi,Delhi Cantonment,28.59025,77.13192
South West Delhi,Dhaula Kuan,28.597009999999997,77.164612
South West Delhi,Ghitorni,28.491077,77.14200600000001
South West Delhi,Inderpuri,28.6309,77.1466
South West Delhi,Kirby Place,28.607322999999997,77.125631
South West Delhi,Kishangarh Village,28.66667,77.21667
South West Delhi,Mahipalpur,28.5437,77.1282
South West Delhi,Moti Bagh,28.5833,77.1833
South West Delhi,Munirka,28.555178,77.17625
South West Delhi,Najafgarh,28.6125,76.98472
South West Delhi,Naraina,28.66667,77.21667
South West Delhi,Palam,28.582276,77.08591
South West Delhi,Rama Krishna Puram,28.66667,77.21667
South West Delhi,Rajokri,28.5031,77.11106
South West Delhi,Rangpuri,28.533942,77.114579
South West Delhi,Sarojini Nagar,28.5795,77.1971
South West Delhi,Sagar Pur,28.66667,77.21667
South West Delhi,Vasant Kunj,28.5105,77.1652
South West Delhi,Vasant Vihar,28.5574,77.15899999999999
West Delhi,Ashok Nagar,28.59742,77.19645
West Delhi,Bali Nagar,28.6541,77.1274
West Delhi,Dhaula Kuan,28.597009999999997,77.164612
West Delhi,Fateh Nagar,28.632087,77.10090699999999
West Delhi,Janakpuri,28.62,77.09444
West Delhi,Kirti Nagar,28.6523,77.141
West Delhi,Meera Bagh,28.60489,77.208182
West Delhi,Moti Nagar,28.662407,77.139149
West Delhi,Nehru Nagar,28.570172999999997,77.251235
West Delhi,Partap Nagar,28.670106,77.195115
West Delhi,Paschim Vihar,28.6685,77.0999
West Delhi,Patel Nagar,28.6505,77.1691
West Delhi,Punjabi Bagh,28.667509999999996,77.12125999999999
West Delhi,Rajouri Garden,28.644603999999998,77.124985
West Delhi,Shivaji Place,28.66667,77.21667
West Delhi,Tihar Village,28.632234000000004,77.107173
West Delhi,Tilak Nagar,28.6396,77.0884
West Delhi,Uttam Nagar,28.616834000000004,77.05511800000001
West Delhi,Vikas Nagar,28.634465000000002,77.051688
West Delhi,Vikaspuri,28.633329999999997,77.075
